variable,years,short_desc,long_desc,sources,category,plaintext_cite,bibtex_cite,plaintext_cite2,bibtex_cite2,plaintext_cite3,bibtex_cite3,plaintext_cite4,bibtex_cite4
apersinc,"1957, 1962, 1967, 1972, 1977-2000, 2002, 2004-2017","Personal income in millions of dollars, fiscal year","Personal income in millions of dollars, fiscal year","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309-26.",economic-fiscal,"Sorens, J., Muedini, F. and Ruger, W.P., 2008. US state and local public policies in 2006: A new database. State Politics & Policy Quarterly, 8(3), pp.309-326.","@article{sorens2008us,
  title={US state and local public policies in 2006: A new database},
  author={Sorens, Jason and Muedini, Fait and Ruger, William P},
  journal={State Politics \& Policy Quarterly},
  volume={8},
  number={3},
  pages={309--326},
  year={2008},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}
",NA,NA,NA,NA,NA,NA
apersinca,"2000, 2002, 2004-2017","Personal income, fiscal year, concept two","Personal income, fiscal year, concept two: apersinc + acapgain + aben - asupp","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309-26.",economic-fiscal,"Sorens, J., Muedini, F. and Ruger, W.P., 2008. US state and local public policies in 2006: A new database. State Politics & Policy Quarterly, 8(3), pp.309-326.","@article{sorens2008us,
  title={US state and local public policies in 2006: A new database},
  author={Sorens, Jason and Muedini, Fait and Ruger, William P},
  journal={State Politics \& Policy Quarterly},
  volume={8},
  number={3},
  pages={309--326},
  year={2008},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}
",NA,NA,NA,NA,NA,NA
apersinccy,"1957, 1962, 1967, 1972, 1977-2016","Personal income in millions of dollars, calendar year","Personal income in millions of dollars, calendar year","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309-26.",economic-fiscal,"Sorens, J., Muedini, F. and Ruger, W.P., 2008. US state and local public policies in 2006: A new database. State Politics & Policy Quarterly, 8(3), pp.309-326.","@article{sorens2008us,
  title={US state and local public policies in 2006: A new database},
  author={Sorens, Jason and Muedini, Fait and Ruger, William P},
  journal={State Politics \& Policy Quarterly},
  volume={8},
  number={3},
  pages={309--326},
  year={2008},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}
",NA,NA,NA,NA,NA,NA
aasstpi,"1995-2000, 2002, 2004-2017","Cash and security assets,
% of income","Cash and security assets, % of income (aslcash / apersinc)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309-26.",economic-fiscal,"Sorens, J., Muedini, F. and Ruger, W.P., 2008. US state and local public policies in 2006: A new database. State Politics & Policy Quarterly, 8(3), pp.309-326.","@article{sorens2008us,
  title={US state and local public policies in 2006: A new database},
  author={Sorens, Jason and Muedini, Fait and Ruger, William P},
  journal={State Politics \& Policy Quarterly},
  volume={8},
  number={3},
  pages={309--326},
  year={2008},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}
",NA,NA,NA,NA,NA,NA
aasstpia,"2000, 2002, 2004-2017","Cash and security assets,
% of income, concept two","Cash and security assets, % of income, concept two (aslcash / apersinca)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309-26.",economic-fiscal,"Sorens, J., Muedini, F. and Ruger, W.P., 2008. US state and local public policies in 2006: A new database. State Politics & Policy Quarterly, 8(3), pp.309-326.","@article{sorens2008us,
  title={US state and local public policies in 2006: A new database},
  author={Sorens, Jason and Muedini, Fait and Ruger, William P},
  journal={State Politics \& Policy Quarterly},
  volume={8},
  number={3},
  pages={309--326},
  year={2008},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}
",NA,NA,NA,NA,NA,NA
aben,"2000, 2002, 2004-2017","Taxable pensions and annuity, millions of dollars, calendar year","Taxable pensions and annuity, millions of dollars, calendar year (carried forward as needed)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309-26.",economic-fiscal,"Sorens, J., Muedini, F. and Ruger, W.P., 2008. US state and local public policies in 2006: A new database. State Politics & Policy Quarterly, 8(3), pp.309-326.","@article{sorens2008us,
  title={US state and local public policies in 2006: A new database},
  author={Sorens, Jason and Muedini, Fait and Ruger, William P},
  journal={State Politics \& Policy Quarterly},
  volume={8},
  number={3},
  pages={309--326},
  year={2008},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}
",NA,NA,NA,NA,NA,NA
acapgain,"2000, 2002, 2004-2017","Net capital gain, less loss, millions of dollars, calendar year","Net capital gain, less loss, millions of dollars, calendar year (carried forward as needed)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309-26.",economic-fiscal,"Sorens, J., Muedini, F. and Ruger, W.P., 2008. US state and local public policies in 2006: A new database. State Politics & Policy Quarterly, 8(3), pp.309-326.","@article{sorens2008us,
  title={US state and local public policies in 2006: A new database},
  author={Sorens, Jason and Muedini, Fait and Ruger, William P},
  journal={State Politics \& Policy Quarterly},
  volume={8},
  number={3},
  pages={309--326},
  year={2008},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}
",NA,NA,NA,NA,NA,NA
achgt,"1957, 1962, 1967, 1972, 1977-2000, 2002, 2004-2015","State and local revenues from current charges, in millions of dollars","State and local revenues from current charges, in millions of dollars","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309-26.",economic-fiscal,"Sorens, J., Muedini, F. and Ruger, W.P., 2008. US state and local public policies in 2006: A new database. State Politics & Policy Quarterly, 8(3), pp.309-326.","@article{sorens2008us,
  title={US state and local public policies in 2006: A new database},
  author={Sorens, Jason and Muedini, Fait and Ruger, William P},
  journal={State Politics \& Policy Quarterly},
  volume={8},
  number={3},
  pages={309--326},
  year={2008},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}
",NA,NA,NA,NA,NA,NA
acinct,"1957, 1962, 1967, 1972, 1977-2000, 2002, 2004-2015","State and local corporate income tax revenues, in millions of dollars","State and local corporate income tax revenues, in millions of dollars","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309-26.",economic-fiscal,"Sorens, J., Muedini, F. and Ruger, W.P., 2008. US state and local public policies in 2006: A new database. State Politics & Policy Quarterly, 8(3), pp.309-326.","@article{sorens2008us,
  title={US state and local public policies in 2006: A new database},
  author={Sorens, Jason and Muedini, Fait and Ruger, William P},
  journal={State Politics \& Policy Quarterly},
  volume={8},
  number={3},
  pages={309--326},
  year={2008},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}
",NA,NA,NA,NA,NA,NA
acjarea,"1977-2000, 2002, 2004-2015",Effective number of competing jurisdictions per 100 sq mi,Effective number of competing jurisdictions per 100 sq mi,"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309-26.",economic-fiscal,"Sorens, J., Muedini, F. and Ruger, W.P., 2008. US state and local public policies in 2006: A new database. State Politics & Policy Quarterly, 8(3), pp.309-326.","@article{sorens2008us,
  title={US state and local public policies in 2006: A new database},
  author={Sorens, Jason and Muedini, Fait and Ruger, William P},
  journal={State Politics \& Policy Quarterly},
  volume={8},
  number={3},
  pages={309--326},
  year={2008},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}
",NA,NA,NA,NA,NA,NA
acorrpi,"1957, 1962, 1967, 1972, 1977-2000, 2002, 2004-2015","Corrections spending, % of income","Corrections spending, % of income (acorrspt / apersinc)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309-26.",economic-fiscal,"Sorens, J., Muedini, F. and Ruger, W.P., 2008. US state and local public policies in 2006: A new database. State Politics & Policy Quarterly, 8(3), pp.309-326.","@article{sorens2008us,
  title={US state and local public policies in 2006: A new database},
  author={Sorens, Jason and Muedini, Fait and Ruger, William P},
  journal={State Politics \& Policy Quarterly},
  volume={8},
  number={3},
  pages={309--326},
  year={2008},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}
",NA,NA,NA,NA,NA,NA
acorrspt,"1957, 1962, 1967, 1972, 1977-2000, 2002, 2004-2015","State and local government total corrections direct expenditure, in millions of dollars","State and local government total corrections direct expenditure, in millions of dollars","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309-26.",economic-fiscal,"Sorens, J., Muedini, F. and Ruger, W.P., 2008. US state and local public policies in 2006: A new database. State Politics & Policy Quarterly, 8(3), pp.309-326.","@article{sorens2008us,
  title={US state and local public policies in 2006: A new database},
  author={Sorens, Jason and Muedini, Fait and Ruger, William P},
  journal={State Politics \& Policy Quarterly},
  volume={8},
  number={3},
  pages={309--326},
  year={2008},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}
",NA,NA,NA,NA,NA,NA
acredit,2001-2016,"State government credit rating, Standard & Poor's","State government credit rating, Standard & Poor's (0 = AAA, 1 = AA+, 2 = AA, 3 = AA-, 4 = A+, 5 = A,
6 = A-, 7 = BBB+, 8 = BBB)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309-26.",economic-fiscal,"Sorens, J., Muedini, F. and Ruger, W.P., 2008. US state and local public policies in 2006: A new database. State Politics & Policy Quarterly, 8(3), pp.309-326.","@article{sorens2008us,
  title={US state and local public policies in 2006: A new database},
  author={Sorens, Jason and Muedini, Fait and Ruger, William P},
  journal={State Politics \& Policy Quarterly},
  volume={8},
  number={3},
  pages={309--326},
  year={2008},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}
",NA,NA,NA,NA,NA,NA
adebtpi,"1957, 1962, 1967, 1972, 1977-2000, 2002, 2004-2015","Debt, % of income","Debt, % of income (asldebt / apersinc)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309-26.",economic-fiscal,"Sorens, J., Muedini, F. and Ruger, W.P., 2008. US state and local public policies in 2006: A new database. State Politics & Policy Quarterly, 8(3), pp.309-326.","@article{sorens2008us,
  title={US state and local public policies in 2006: A new database},
  author={Sorens, Jason and Muedini, Fait and Ruger, William P},
  journal={State Politics \& Policy Quarterly},
  volume={8},
  number={3},
  pages={309--326},
  year={2008},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}
",NA,NA,NA,NA,NA,NA
adebtpia,"2000, 2002, 2004-2015","Debt, % of income, concept two","Debt, % of income, concept two (asldebt / apersinca)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309-26.",economic-fiscal,"Sorens, J., Muedini, F. and Ruger, W.P., 2008. US state and local public policies in 2006: A new database. State Politics & Policy Quarterly, 8(3), pp.309-326.","@article{sorens2008us,
  title={US state and local public policies in 2006: A new database},
  author={Sorens, Jason and Muedini, Fait and Ruger, William P},
  journal={State Politics \& Policy Quarterly},
  volume={8},
  number={3},
  pages={309--326},
  year={2008},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}
",NA,NA,NA,NA,NA,NA
adjsppib,"1957, 1962, 1967, 1972, 1977-2000, 2002, 2004-2010","Unexpected total spending, concept B","Unexpected total spending, concept B (residuals: atotpib on agrantspi)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309-26.",economic-fiscal,"Sorens, J., Muedini, F. and Ruger, W.P., 2008. US state and local public policies in 2006: A new database. State Politics & Policy Quarterly, 8(3), pp.309-326.","@article{sorens2008us,
  title={US state and local public policies in 2006: A new database},
  author={Sorens, Jason and Muedini, Fait and Ruger, William P},
  journal={State Politics \& Policy Quarterly},
  volume={8},
  number={3},
  pages={309--326},
  year={2008},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}
",NA,NA,NA,NA,NA,NA
